bank_id,role,filename,seed,mask_count,grid_height,grid_width,mask_probability,cell_height,cell_width,upsampled_height,upsampled_width,output_height,output_width,coarse_one_fraction,coarse_unique_count,shift_y_min,shift_y_max,shift_x_min,shift_x_max,compact_payload_sha256,npz_sha256,npz_size_bytes,byte_deterministic_write,status
RISE_MAIN,PRIMARY,rise_main_seed20260802.npz,20260802,4096,8,8,0.5,28,28,252,252,224,224,0.5002174377441406,4096,0,27,0,27,6751f882d2cbdc4cf9e90500a535d48a272a8ba0f246df2ece20ae9aecf09ae8,f872d2bac72fa98077e7da60662b65a86f9172a43804fbfadb99aeb78e561222,53362,True,PASS
RISE_STABILITY_A,STABILITY,rise_stability_seed20260803.npz,20260803,2048,8,8,0.5,28,28,252,252,224,224,0.5000381469726562,2048,0,27,0,27,30912199f9cd9e89c6655792c454faa51898c8e600b731e817e359d12833411f,6e8f9c185e938d6a7813cf6539c7c3ce8af65cca5de4c32facf02393157ed7a6,27488,True,PASS
RISE_STABILITY_B,STABILITY,rise_stability_seed20260804.npz,20260804,2048,8,8,0.5,28,28,252,252,224,224,0.49944305419921875,2048,0,27,0,27,1d13aa63fad744b3ccadefa1f42589b0e682532022a134bb89372c98b247019c,3e4f6becc618abda063666546bc2d8fcc463708bf0bc0d5403fb703fd59d7093,27566,True,PASS
RISE_STABILITY_C,STABILITY,rise_stability_seed20260805.npz,20260805,2048,8,8,0.5,28,28,252,252,224,224,0.4991455078125,2048,0,27,0,27,92cffa28378589a75e4a5ba8cdceef6407b26a991e3c0ec63911df032edd2d69,55e6008facec16ecf8726cbbc976bc20667e10ae6a6d5d702ab92ff67931f554,27573,True,PASS
