model,display_name,accuracy,macro_f1,balanced_accuracy,auroc,brier,ece,precision_nonopen,recall_nonopen,f1_nonopen,precision_open,recall_open,f1_open,nonopen_to_open,open_to_nonopen
mobilenetv3,MobileNetV3-Large,0.9898688279833636,0.9793659223197502,0.9777399745811824,0.998866227285302,0.007892055696628,0.0022480974508521,0.993407140191566,0.9947683109118086,0.9940872596004232,0.968609865470852,0.960711638250556,0.964644585039077,0.0052316890881913,0.039288361749444
shufflenetv2,ShuffleNetV2 x1.0,0.9793110803028688,0.956575428034973,0.9416628531053102,0.9975619523661255,0.0153460280506101,0.0114855506773542,0.9815588886156872,0.99451918285999,0.9879965350822918,0.9646017699115044,0.8888065233506302,0.9251543209876544,0.0054808171400099,0.1111934766493699
efficientnet_b0,EfficientNet-B0,0.981870534286019,0.9624567358328104,0.9533335974201488,0.995354980695808,0.0140981679138804,0.0035334325886955,0.9855412753336628,0.9933981066268062,0.989454094292804,0.9587548638132296,0.9132690882134916,0.935459377372817,0.0066018933731938,0.0867309117865085
deit_tiny,DeiT-Tiny,0.9875226618321424,0.9751541743192472,0.9843872059356372,0.9983465487546735,0.0100755521610714,0.0017973646089409,0.9966101694915256,0.9887892376681614,0.9926842993809792,0.9362606232294618,0.9799851742031134,0.9576240492575154,0.0112107623318385,0.0200148257968865
repvit_m1_0,RepViT-M1.0,0.9821904660339128,0.9631075455219692,0.9538288063682228,0.9968134601541012,0.0138490790581068,0.0055198363238159,0.9856666254788088,0.9936472346786248,0.9896408411388872,0.9602803738317756,0.9140103780578206,0.9365742499050512,0.0063527653213751,0.0859896219421793
efficientformer_l1,EfficientFormer-L1,0.9890156766556468,0.9779550860136038,0.9834089766617432,0.998570283843464,0.0084663125692221,0.0039827517267137,0.995870354148417,0.9912805181863478,0.9935701354641364,0.9494949494949496,0.9755374351371386,0.9623400365630712,0.0087194818136522,0.0244625648628613
