rank_delta_macro_f1,model,display_name,RGB_macro_f1,Gray3_macro_f1,delta_macro_f1_Gray3_minus_RGB,delta_macro_f1_ci_low,delta_macro_f1_ci_high,probability_Gray3_better_macro_f1,macro_f1_significant_direction,RGB_balanced_accuracy,Gray3_balanced_accuracy,delta_balanced_accuracy,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,RGB_auroc,Gray3_auroc,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,RGB_blink_to_open_rate,Gray3_blink_to_open_rate,delta_blink_to_open_rate,delta_blink_to_open_ci_low,delta_blink_to_open_ci_high,blink_error_significant_direction,RGB_open_to_blink_rate,Gray3_open_to_blink_rate,delta_open_to_blink_rate,RGB_brier,Gray3_brier,delta_brier,RGB_ece,Gray3_ece,delta_ece,RGB_predicted_open_fraction,Gray3_predicted_open_fraction,RGB_class_collapse,Gray3_class_collapse,RGB_mean_nonclean_family_macro_f1,Gray3_mean_nonclean_family_macro_f1,delta_mean_nonclean_macro_f1_Gray3_minus_RGB,delta_mean_nonclean_macro_f1_ci_low,delta_mean_nonclean_macro_f1_ci_high,RGB_worst_family_macro_f1,Gray3_worst_family_macro_f1
2,mobilenetv3,MobileNetV3-Large,0.5474078910707116,0.7756204383312442,0.2282125472605325,0.0916939693206553,0.2996527434326551,1.0,GRAY3_BETTER,0.8520173835556328,0.904148638765973,0.0521312552103401,-0.0256068724098413,0.1605051400192632,0.8667870601268162,0.9708782357308814,0.1040911756040652,0.0062181028513217,0.2637449229218122,0.0553250345781466,0.148686030428769,0.0933609958506224,0.0464199255733138,0.1544282265550743,RGB_BETTER,0.2406401983105878,0.0430166920392849,-0.1976235062713029,0.198589386425238,0.03815950362799,-0.1604298827972479,0.1426662586548133,0.0198206992337464,-0.1228455594210668,0.7329581555777435,0.926671767009427,NONE,NONE,0.3404673940978084,0.5298744583666557,0.1894070642688473,0.1353035672762765,0.2312555519854463,0.0362038823793476,0.0467608763825216
1,shufflenetv2,ShuffleNetV2 x1.0,0.2322915883893581,0.6695307304857171,0.4372391420963589,0.317055796056672,0.6211890848738866,1.0,GRAY3_BETTER,0.6071466530998206,0.8887924119762634,0.2816457588764427,0.2069866630380636,0.3521458962909053,0.6558379144823975,0.9508288548561205,0.294990940373723,0.2106495840776985,0.3885741391412617,0.0159059474412171,0.1220608575380359,0.1061549100968188,0.0470823047745198,0.1833897855275315,RGB_BETTER,0.7698007463591415,0.1003543185094372,-0.6694464278497043,0.577183676075833,0.074941178454552,-0.5022424976212809,0.561795936961279,0.0422460768031002,-0.5195498601581788,0.2221631504557891,0.8704858724827863,NONE,NONE,0.2298498058865819,0.5254609366117856,0.2956111307252036,0.2062736361041462,0.3945834905967946,0.0390938681670686,0.1231370030607975
3,efficientnet_b0,EfficientNet-B0,0.5001304825874295,0.6523129007670736,0.152182418179644,0.0584307398895883,0.3272599957381091,1.0,GRAY3_BETTER,0.791282902671501,0.8854647329550798,0.0941818302835787,0.0363026006231678,0.1839221667678121,0.8401514174091324,0.9445951781199168,0.1044437607107843,0.032399938883212,0.2181843430901452,0.1120331950207468,0.1147994467496542,0.0027662517289073,-0.0757843248024029,0.0721888014807959,UNCERTAIN,0.3054009996362509,0.1142710873401861,-0.1911299122960647,0.1912412216218539,0.082896622007377,-0.1083445996144769,0.0539327791430827,0.0291171004282914,-0.0248156787147913,0.6727524993840688,0.8568186828148705,NONE,NONE,0.4214411691431267,0.5024665135541143,0.0810253444109875,-0.0224198344385554,0.1882162240292788,0.2133209636978111,0.1908029190818786
6,deit_tiny,DeiT-Tiny,0.7442684251207115,0.7585110384776708,0.0142426133569593,0.0004402288601631,0.0278499925042932,0.9783,GRAY3_BETTER,0.9103479036616042,0.9265143320121833,0.016166428350579,0.0001722293522554,0.0406718119157468,0.969552103458344,0.9734306700683656,0.0038785666100218,0.0003866374534068,0.0085031911023883,0.1210235131396957,0.0919778699861687,-0.0290456431535269,-0.0792977279370463,0.0018440550746255,UNCERTAIN,0.0582806795370956,0.0549934659894647,-0.0032872135476309,0.0457652568328817,0.0432288982275079,-0.0025363586053738,0.0171316438747618,0.0179528637479198,0.0008212198731579,0.9109428286155162,0.9130175443146308,NONE,NONE,0.675575403744461,0.6800443583495425,0.0044689546050814,-0.0099889850387548,0.0196747425391126,0.5328741015589101,0.5407977712637233
4,repvit_m1_0,RepViT-M1.0,0.5796976455896041,0.7160808937513374,0.1363832481617333,0.0099411487250204,0.2288164277622695,0.99,GRAY3_BETTER,0.7922740587120132,0.8232447035812407,0.0309706448692275,-0.0485446900468909,0.1192953562832763,0.9088615515922978,0.9500462777997314,0.0411847262074336,-0.0089025072664448,0.1297696655447546,0.2531120331950207,0.3025587828492392,0.0494467496542185,-0.0315860950626953,0.1619760424760425,UNCERTAIN,0.162339849380953,0.0509518099882791,-0.1113880393926738,0.1097615767256167,0.0478325782435341,-0.0619289984820826,0.0731628744425496,0.0250887595468539,-0.0480741148956956,0.8157393119724062,0.924804522880224,NONE,NONE,0.4934246207622774,0.5695852005422746,0.0761605797799971,0.0416980088720896,0.102827055404572,0.3851091016549625,0.3404459468763539
5,efficientformer_l1,EfficientFormer-L1,0.592804806987025,0.7172461010522544,0.1244412940652294,0.0851649014869845,0.1450364387810037,1.0,GRAY3_BETTER,0.776305413428334,0.84060110986967,0.0642956964413359,0.0166277870945504,0.1242082405838569,0.8866788695236609,0.9478369137206692,0.0611580441970083,0.0247837107037866,0.114464017477636,0.3105117565698478,0.2638312586445366,-0.0466804979253112,-0.1599672673760145,0.0459373440225981,UNCERTAIN,0.136877416573484,0.0549665216161235,-0.0819108949573605,0.1097034513318412,0.0521250320372577,-0.0575784192945835,0.0560076177346609,0.0330226569372113,-0.0229849607974495,0.8423994087060257,0.9194880639012436,NONE,NONE,0.5108218040327172,0.606986751455998,0.0961649474232808,0.0788308338540405,0.1164481065544847,0.3636203615635457,0.4911719229667162
