model,hcs_HCS_A_SAFETY,hcs_HCS_B_DEPLOYMENT,hcs_HCS_C_BALANCED,competition_rank_HCS_A_SAFETY,competition_rank_HCS_B_DEPLOYMENT,competition_rank_HCS_C_BALANCED,first_place_fractional_share,rank_1_fraction,rank_2_fraction,rank_3_fraction,rank_4_fraction,mean_competition_rank,dirichlet_first_share,display_name
mobilenetv3,0.7920081616928221,0.7686743981279289,0.7658615131610705,2.0,2.0,2.0,0.0006446104347727,0.0006446104347727,0.5703049459714675,0.2524780747635015,0.1765723688302582,2.6049782019892453,0.000576,MobileNetV3-Large
shufflenetv2,0.8603504529559343,0.8795260932154257,0.8507941069212829,1.0,1.0,1.0,0.7456842200496463,0.7456842200496463,0.1849127231398182,0.0675201158036991,0.0018829410068362,1.3256017777677254,0.754892,ShuffleNetV2 x1.0
efficientnet_b0,0.7406703619681223,0.6698457962913664,0.7095975513966095,4.0,3.0,4.0,0.1092614686939853,0.1092614686939853,0.117381298381123,0.3828250900475541,0.3905321428773374,3.054627907108244,0.105208,EfficientNet-B0
deit_tiny,0.7625137340089906,0.660269862775028,0.7098674266263449,3.0,4.0,3.0,0.1444097008215955,0.1444097008215955,0.1274010325075911,0.2971767193852452,0.4310125472855681,3.014792113134786,0.139324,DeiT-Tiny
