model,display_name,worst_blink_to_open_condition_id,worst_nonclean_blink_to_open_rate,maximum_allowed_blink_to_open_rate,blink_error_margin_to_limit,worst_open_to_blink_condition_id,worst_nonclean_open_to_blink_rate,maximum_allowed_open_to_blink_rate,open_error_margin_to_limit,worst_macro_f1_condition_id,worst_nonclean_condition_macro_f1,worst_balanced_accuracy_condition_id,worst_nonclean_condition_balanced_accuracy,nonclean_collapse_count
mobilenetv3,MobileNetV3-Large,noise_moderate_r05,0.229253112033195,0.5,0.270746887966805,noise_severe_r01,0.8176943699731903,0.5,-0.3176943699731903,noise_severe_r01,0.1897061732794297,noise_severe_r01,0.5060905743495044,0.0
shufflenetv2,ShuffleNetV2 x1.0,brightness_moderate,0.1787690179806362,0.5,0.3212309820193638,noise_severe_r01,1.0,0.5,-0.5,noise_severe_r01,0.0361450300583669,noise_severe_r01,0.5,10.0
efficientnet_b0,EfficientNet-B0,noise_severe_r04,0.8381742738589212,0.5,-0.3381742738589212,noise_mild_r02,0.8301561426435125,0.5,-0.3301561426435124,noise_mild_r01,0.1877618743114063,noise_moderate_r05,0.4566442951969642,0.0
deit_tiny,DeiT-Tiny,noise_severe_r02,0.6946749654218534,0.5,-0.1946749654218533,blur_severe,0.3104800140110741,0.5,0.1895199859889259,blur_severe,0.4895763048761745,noise_severe_r02,0.6178234425588538,0.0
repvit_m1_0,RepViT-M1.0,noise_moderate_r02,1.0,0.5,-0.5,blur_severe,0.3947620138224635,0.5,0.1052379861775364,blur_severe,0.4352968459389413,noise_moderate_r05,0.4990704191197273,15.0
efficientformer_l1,EfficientFormer-L1,noise_severe_r05,0.7071230982019364,0.5,-0.2071230982019364,noise_moderate_r02,0.9940452934915868,0.5,-0.4940452934915867,noise_moderate_r02,0.0420823839140689,noise_severe_r05,0.4636208777787386,5.0
