model,display_name,accuracy,macro_f1,balanced_accuracy,auroc,brier,ece,precision_nonopen,recall_nonopen,f1_nonopen,precision_open,recall_open,f1_open,nonopen_to_open,open_to_nonopen
mobilenetv3,MobileNetV3-Large,0.8219096413600373,0.6034017248433228,0.877437566400455,0.9063224582868978,0.1507661631991669,0.1003392359421437,0.1849768508502444,0.9381171823568136,0.309021251987856,0.9966523819133656,0.8167579504440964,0.8977821976987895,0.0618828176431863,0.1832420495559036
shufflenetv2,ShuffleNetV2 x1.0,0.2216488122962273,0.2066176627716266,0.5885384028558978,0.6713452798129886,0.6182556275374465,0.6155252106802138,0.0512287399025188,0.989466754443713,0.0974139607233132,0.9975171985723892,0.1876100512680824,0.31582136481994,0.010533245556287,0.8123899487319175
efficientnet_b0,EfficientNet-B0,0.7711690731252911,0.5550583427779253,0.8205339942097063,0.8737279918037981,0.1516441387937205,0.0294648288278365,0.1424333404818071,0.8744788237875796,0.2449669586599047,0.9927934284130424,0.7665891646318329,0.8651497268959459,0.1255211762124204,0.2334108353681671
deit_tiny,DeiT-Tiny,0.9455519329296692,0.7771178778667526,0.9228104947192268,0.9774872099205764,0.0404475186889482,0.0120488311753273,0.4320101351351351,0.8979591836734694,0.5833630337158743,0.9952491877643596,0.947661805764984,0.9708727220176308,0.1020408163265306,0.052338194235016
repvit_m1_0,RepViT-M1.0,0.8698835584536563,0.638685106226552,0.847962185310642,0.9440193653278416,0.087160839210345,0.0542337396616787,0.221913598487087,0.8240070221637041,0.3496601173293602,0.9911311636753696,0.8719173484575798,0.9277100951237436,0.1759929778362958,0.1280826515424202
efficientformer_l1,EfficientFormer-L1,0.8784816022356777,0.6313665157523771,0.794885207909598,0.901826463503703,0.0934677678713011,0.0382596861403019,0.2151677852348993,0.7035330261136713,0.3295472066608418,0.985386695511087,0.8862373897055247,0.9331858248439124,0.2964669738863287,0.1137626102944753
