model,display_name,perturbation,severity_index,severity_label_original,n_conditions_pooled,accuracy,macro_f1,balanced_accuracy,brier,closed_to_open_rate,open_to_closed_rate,predicted_open_fraction,auc,n_predictions,support_closed,support_open,point_estimate_pooled,ci_low,ci_high,model_order,pert_order
mobilenetv3,MobileNetV3-Large,clean,-1,none,1,0.9898688279833636,0.9793659223197502,0.9777399745811824,0.0078920417796676,0.0052316890881913,0.039288361749444,0.142689559560627,0.998866227285302,9377,8028,1349,0.9793659223197502,0.9704001922845812,0.9963080836127532,0,0
mobilenetv3,MobileNetV3-Large,brightness,0,mild,1,0.9896555401514344,0.9792643967291982,0.9853244832855208,0.0082241124879984,0.0085949177877429,0.0207561156412157,0.1482350431907859,0.998557864376092,9377,8028,1349,0.9792643967291982,0.9642638478556655,0.99340718344574,0,1
mobilenetv3,MobileNetV3-Large,brightness,1,moderate,1,0.9904020475631864,0.9806729397797632,0.9845270057393636,0.0075520998601031,0.0072247135027404,0.0237212750185322,0.146635384451317,0.9988534384657404,9377,8028,1349,0.9806729397797632,0.9720008043291416,0.9950532481966748,0,1
mobilenetv3,MobileNetV3-Large,brightness,2,severe,1,0.9895488962354698,0.9785746567173867,0.9738527736317996,0.0086886303145581,0.0041106128550074,0.0481838398813936,0.1404500373253706,0.998603710216614,9377,8028,1349,0.9785746567173867,0.9668165098768692,0.9981493905064248,0,1
mobilenetv3,MobileNetV3-Large,blur,0,mild,1,0.985283139596886,0.9700726456896316,0.9692029527491436,0.0101650595339601,0.0082212257100149,0.0533728687916975,0.14322277914045,0.9984195881501476,9377,8028,1349,0.9700726456896316,0.936254372190308,0.9925074293428376,0,2
mobilenetv3,MobileNetV3-Large,blur,1,moderate,1,0.9710994987735948,0.9377372996910124,0.9128148311894286,0.0213954776878584,0.0053562531141006,0.1690140845070422,0.1241335181827876,0.9965126227957524,9377,8028,1349,0.9377372996910124,0.8255565908355988,0.991991263196214,0,2
mobilenetv3,MobileNetV3-Large,blur,2,severe,1,0.9451850271941986,0.8705039145084424,0.8205895747389695,0.0442494949364423,0.0044843049327354,0.3543365455893254,0.0967260317798869,0.98251338994025,9377,8028,1349,0.8705039145084424,0.7847415342985504,0.9527132788844828,0,2
mobilenetv3,MobileNetV3-Large,noise,0,mild,5,0.8561373573637624,0.461246768170066,0.5,0.1437802934066974,0.0,1.0,0.0,0.4929717707815086,46885,40140,6745,0.461246768170066,0.4423043402475161,0.4826845637583892,0,3
mobilenetv3,MobileNetV3-Large,noise,1,moderate,5,0.7344353204649675,0.5190399937178489,0.5232211444525332,0.2318769483933282,0.1802441454907822,0.7733135656041512,0.1869254559027407,0.4847117963332931,46885,40140,6745,0.5190399937178489,0.4789900879193707,0.5937350136037531,0,3
mobilenetv3,MobileNetV3-Large,noise,2,severe,5,0.5099925349258825,0.3896171633134461,0.3931291812976303,0.4171726955139959,0.4428001993024414,0.770941438102298,0.4120507625039991,0.3673736049106112,46885,40140,6745,0.3896171633134461,0.286006997773605,0.4426229472397693,0,3
shufflenetv2,ShuffleNetV2 x1.0,clean,-1,none,1,0.9793110803028688,0.956575428034973,0.9416628531053102,0.0153460618207059,0.0054808171400099,0.1111934766493699,0.1325583875439906,0.9975619523661255,9377,8028,1349,0.956575428034973,0.9344126622652198,0.9943985277785256,1,0
shufflenetv2,ShuffleNetV2 x1.0,brightness,0,mild,1,0.9833635491095232,0.9660640651742772,0.9637647957870212,0.0134586741901973,0.0087194818136522,0.0637509266123054,0.1421563399808041,0.9952911751050716,9377,8028,1349,0.9660640651742772,0.9376327376670204,0.9919812926728726,1,1
shufflenetv2,ShuffleNetV2 x1.0,brightness,1,moderate,1,0.9838967686893464,0.9668733562307328,0.9606842138504854,0.0121384916712973,0.0067264573991031,0.0719051148999258,0.13927695424976,0.997225749535632,9377,8028,1349,0.9668733562307328,0.9472366012343244,0.9931428457163688,1,1
