model,display_name,mean_spearman,p05_spearman,min_spearman,mean_top10_iou,p05_top10_iou,min_top10_iou,stability_rise_masks,main_rise_masks,model_order,role
mobilenetv3,MobileNetV3-Large,0.3538428939022753,0.0536457485233871,-0.1410607729243751,0.3653934539785816,0.0758239032539242,0.0126122490162445,2048,4096,1,DESCRIPTIVE_STOCHASTIC_STABILITY
shufflenetv2,ShuffleNetV2 x1.0,0.4715104378254639,0.1351593475398245,-0.0009652690723602,0.3208412723805564,0.0715928494551721,0.014454664914586,2048,4096,2,DESCRIPTIVE_STOCHASTIC_STABILITY
efficientnet_b0,EfficientNet-B0,0.3173156911657684,0.1008673965101996,0.017631365362296,0.3019288215600869,0.0231430649652936,0.000897576543333,2048,4096,3,DESCRIPTIVE_STOCHASTIC_STABILITY
deit_tiny,DeiT-Tiny,0.3496400866628374,-0.0186808310996542,-0.2607874183795639,0.3878352090117156,0.0383310537726187,0.0,2048,4096,4,DESCRIPTIVE_STOCHASTIC_STABILITY
repvit_m1_0,RepViT-M1.0,0.3739760039686547,0.0783366531983337,-0.188353469756455,0.3939592906215444,0.0178045894360822,0.0,2048,4096,5,DESCRIPTIVE_STOCHASTIC_STABILITY
efficientformer_l1,EfficientFormer-L1,0.4108897291040895,0.0856052476948395,-0.0757971290460418,0.4155563670006077,0.0782122905027933,0.0260709538901952,2048,4096,6,DESCRIPTIVE_STOCHASTIC_STABILITY
