model,display_name,parameter_count,parameters_m,trainable_parameter_count,state_dict_tensor_bytes,state_dict_mib,checkpoint_size_bytes,checkpoint_size_mib,rtx_b1_mean_ms,rtx_b1_p95_ms,rtx_b2_mean_ms,rtx_b2_p95_ms,jetson_b1_mean_ms,jetson_b1_p95_ms,jetson_b2_mean_ms,jetson_b2_p95_ms,jetson_b2_per_eye_ms,jetson_b2_eyes_per_second,rank_parameters_m,rank_state_dict_mib,rank_checkpoint_size_mib,rank_rtx_b1_mean_ms,rank_rtx_b2_mean_ms,rank_jetson_b1_mean_ms,rank_jetson_b2_mean_ms,operational_latency_pass,safety_screening_pass,combined_operational_safety_pass,deadline_margin_ms,worst_nonclean_blink_to_open_rate,worst_nonclean_open_to_blink_rate,nonclean_collapse_count,mean_nonclean_family_macro_f1,worst_nonclean_family_macro_f1,primary_failure_type,clean_macro_f1,remediation_class,worst_directional_error,worst_retained_class_recall,jetson_to_rtx_b1_latency_ratio,primary_gate_pass,primary_result
shufflenetv2,ShuffleNetV2 x1.0,1255654,1.255654,1255654,5087784,4.852088928222656,5197523,4.956744194030762,11.1540733,19.17594,15.300395,20.70735,7.6242028259785,8.41264799964847,12.477983884982676,12.705515649668088,6.238991942491339,160.28230349031074,1.0,1.0,1.0,2.0,3.0,1.0,1.0,True,False,False,20.62781768366525,0.1787690179806362,1.0,10.0,0.5075922414235235,0.0361450300583669,SAFETY_ONLY,0.7129802734015903,ROBUSTNESS_REMEDIATION_WITH_COLLAPSE,1.0,0.0,0.6835352988023219,False,EXCLUDED
mobilenetv3,MobileNetV3-Large,4204594,4.204594,4204594,16916344,16.13268280029297,17025095,16.236395835876465,12.4157838,19.480595,12.0470132,18.647145,13.593756563021088,13.836511699719267,23.34876767303649,23.592834700320964,11.674383836518246,85.65762561891565,3.0,3.0,3.0,3.0,2.0,2.0,2.0,True,False,False,9.740498633012372,0.229253112033195,0.8176943699731903,0.0,0.4849034118205126,0.1897524990665445,SAFETY_ONLY,0.6464457786018964,ROBUSTNESS_REMEDIATION_NO_COLLAPSE,0.8176943699731903,0.18230563002680966,1.094877035714901,False,EXCLUDED
efficientnet_b0,EfficientNet-B0,4010110,4.01011,4010110,16208896,15.4580078125,16341791,15.584746360778809,21.1093131,24.229115,18.0076955,22.96271,26.50388373498208,26.76529245100028,46.68741806901016,46.935533099258464,23.34370903450508,42.83809391737483,2.0,2.0,2.0,5.0,5.0,3.0,3.0,False,False,False,-13.602199765925128,0.8381742738589212,0.8301561426435125,0.0,0.4755261312130869,0.1880936091584638,LATENCY_AND_SAFETY,0.6503131617265158,DUAL_REMEDIATION_NO_COLLAPSE,0.8381742738589212,0.16182572614107882,1.2555540585061518,False,EXCLUDED
deit_tiny,DeiT-Tiny,5524802,5.524802,5524802,22099208,21.07544708251953,22158219,21.13172435760498,10.9937975,13.475025,11.5267411,14.66395,26.6264254180278,26.857407098668773,52.505887667988645,52.649973500138,26.252943833994323,38.090966343558144,4.0,4.0,4.0,1.0,1.0,4.0,5.0,False,False,False,-19.316640166804667,0.6946749654218534,0.3104800140110741,0.0,0.6343487176569576,0.4895763048761745,LATENCY_AND_SAFETY,0.7036657570361258,DUAL_REMEDIATION_NO_COLLAPSE,0.6946749654218534,0.30532503457814664,2.4219497783207125,False,EXCLUDED
efficientformer_l1,EfficientFormer-L1,11393724,11.393724,11393724,45722048,43.60394287109375,45812223,43.68994045257568,13.8691039,18.52587,15.6413052,17.823665,29.85554647999561,30.146503850301087,50.59033368199198,50.85453895062528,25.29516684099599,39.53324389144947,6.0,6.0,6.0,4.0,4.0,5.0,4.0,False,False,False,-17.521205617291947,0.7071230982019364,0.9940452934915868,5.0,0.4896316528294249,0.0421955590055791,LATENCY_AND_SAFETY,0.6390376617614819,DUAL_REMEDIATION_WITH_COLLAPSE,0.9940452934915868,0.005954706508413232,2.1526658604090207,False,EXCLUDED
repvit_m1_0,RepViT-M1.0,6404798,6.404798,6404798,25842928,24.645736694335938,26071475,24.86369609832764,29.2300439,40.40661,32.690747900000005,39.51981,35.71292346597511,35.9625736495218,63.9587807280368,64.14337764890661,31.9793903640184,31.27013956855005,5.0,5.0,5.0,6.0,6.0,6.0,6.0,False,False,False,-30.810044315573272,1.0,0.3947620138224635,15.0,0.5157495110744578,0.4352968459389413,LATENCY_AND_SAFETY,0.566709680106442,DUAL_REMEDIATION_WITH_COLLAPSE,1.0,0.0,1.2217882254352384,False,EXCLUDED
