model,display_name,subject_macro_mean,ci_lower,ci_upper,n_images,n_subjects,direction,cohort,model_order
mobilenetv3,MobileNetV3-Large,0.7460088833950194,0.6672761362345176,0.8315264237251361,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,1
shufflenetv2,ShuffleNetV2 x1.0,0.9113425382091174,0.8528349958235129,0.9616180184924356,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,2
efficientnet_b0,EfficientNet-B0,0.5825914974995753,0.5312134690744805,0.6339695259246698,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,3
deit_tiny,DeiT-Tiny,0.8956073157193508,0.8003678489307398,0.9642814599776224,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,4
repvit_m1_0,RepViT-M1.0,0.8372033455940908,0.7247369949536387,0.9151189700508772,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,5
efficientformer_l1,EfficientFormer-L1,0.8754146359350884,0.7941729278364597,0.951034467458949,500,5,LOWER_IS_BETTER,ALL_500_COMMON_CORRECT,6
